CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,IDENTIFICADOR_OBRA,PROCESO,OBJETO_PROCESO,CODIGO_OBRA,NOMBREOBRA,METODO_CONTRATACION,TIEMPO_ABSOLUCION_CONSULTAS,TIEMPO_PRESENTACION_OFERTAS,CODIGO_RUC,RAZON_SOCIAL,CONVOCATORIA_PROCESO_GANADO,MIEMBROS_DE_COMITE,TotalProcesosParticipantes,CODIGO_CONTRATO,NUMERO_CONTRATO,MONTO_CONTRACTUAL,MONTO_REFERENCIAL,MONTO_OFERTADO_PROMEDIO
2002060,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002060-2434-702592-2064311-19777,3,Consultoría de Obra,19777,Obra Carretera Puente Chino - Aguaytía; sectores dañados.,Concurso Público,0,0,20549322434,PYUNGHWA ENGINEERING CONSULTANTS LTDA SUCURSAL DEL PERU,702592," ALVARADO CALDERON CESAR DANIEL , Cotos Perez Hugo Antonio, ESQUIVEL CERON LUZ YOLANDA, MANCHA CASO FREDDY, PIÑAN INDACOCHEA MARIA CECILIA, ROSALES  LAURENTE ELKA CAROLINA",81,2064311,063-2021-MTC/20.2,2235852.56,2484280.62,2276555.18
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-869397-2169938-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20522404331,PRW INGENIERIA Y CONSTRUCCION S.A.C.,869397," CERVANTES CHICLLA REY PABLO, LESCANO AVALOS DIVE RAUL, MALAGA GOMEZ WILLY MICHAEL OSNAR, PARRAGA CATAY CINTIA NATALI, QUIROZ GAMBOA RAIDER ARISTEDES, RUIZ MELGAREJO FELIPE BENITO",123,2169938,022-2023-MTC/20.2,331016.99,367796.65,331168.22
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-870112-2169901-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20528975055,CONSTRUCTORA & CONSULTORA SAHMAT SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,870112," CERVANTES CHICLLA REY PABLO, LESCANO AVALOS DIVE RAUL, MALAGA GOMEZ WILLY MICHAEL OSNAR, PARRAGA CATAY CINTIA NATALI, QUIROZ GAMBOA RAIDER ARISTEDES, RUIZ MELGAREJO FELIPE BENITO",181,2169901,015-2023-MTC/20.2,283575.23,315083.58,284563.66
2026767,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2026767-16256-709096-2067605-143536,14,Consultoría de Obra,143536,CONSTRUCCIÓN DE VARIANTE EN EL SECTOR TUTUMBARO Y REPARACIÓN DE NUEVOS SECTORES INESTABLES DE LA CARRETERA: QUINUA - SAN FRANCISCO; TRAMO 2,Concurso Público,0,0,20414192531,OBRAS CIVILES CON CALIDAD TOTAL S.A.C.(*),709096," ARENAS DAMIAN JUAN ALFONSO, BONZANO HINOSTROZA KETTY MARIBEL, LAREDO REYNA JORGE ALEJANDRO, MARTINEZ ORE GUISELA, MONTAÑEZ ALBA EMERSON SEVERINO, Rivas Durán Ezequiel",69,2067605,072-2021-MTC/20.2,2477357.77,2752619.74,2477357.77
2026767,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2026767-16256-709096-2067605-143536,14,Consultoría de Obra,143536,CONSTRUCCIÓN DE VARIANTE EN EL SECTOR TUTUMBARO Y REPARACIÓN DE NUEVOS SECTORES INESTABLES DE LA CARRETERA: QUINUA - SAN FRANCISCO; TRAMO 2,Concurso Público,0,0,20419183220,CONSORCIO VIAL TUTUMBARO,709096," ARENAS DAMIAN JUAN ALFONSO, BONZANO HINOSTROZA KETTY MARIBEL, LAREDO REYNA JORGE ALEJANDRO, MARTINEZ ORE GUISELA, MONTAÑEZ ALBA EMERSON SEVERINO, Rivas Durán Ezequiel",20,2067605,072-2021-MTC/20.2,2477357.77,2752619.74,2477357.77
2027711,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2027711-3876-682536-2050524-138320,39,Consultoría de Obra,138320,REHABILITACIÓN Y MEJORAMIENTO DE LA CARRETERA PATAHUASI - YAURI - SICUANI; TRAMO: COLPAHUAYO - LANGUI,Concurso Público,0,0,20552233787,TEC-CUATRO S.A.  - SUCURSAL PERU,682536," ALFARO CARBAJAL FLOR ALEXANDRA, CHAFLOQUE LLAGAS JOSE MARIA, PACHECO MACEDO JOSE CARLOS, SALDARRIAGA JARA KATIA JOSELIN, SANTIAGO MELENDEZ ARINIA GLADYS, SOTELO GUILLEN ALVARO ALONSO",144,2050524,045-2021-MTC/20.2,3043955.25,3382172.49,3073365.44
2027711,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2027711-3876-686773-2058157-138320,6,Obra,138320,REHABILITACIÓN Y MEJORAMIENTO DE LA CARRETERA PATAHUASI - YAURI - SICUANI; TRAMO: COLPAHUAYO - LANGUI,Licitación Pública,0,0,20108736659,CONSORCIO VIAL WARI,686773," BULLON CHURAMPI JOEL EDILBERTO, CHAFLOQUE LLAGAS JOSE MARIA, HUAPAYA AMES MIGUEL ANGEL, RAMOS COPA EDO ALFREDO, SANTON MEZA EMERSON JUNIOR, Vargas Guevara Jeanett Brígida",34,2058157,056-2021-MTC/20.2,24984698.12,27760775.67,25169769.95
2027711,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2027711-3876-686773-2058157-138320,6,Obra,138320,REHABILITACIÓN Y MEJORAMIENTO DE LA CARRETERA PATAHUASI - YAURI - SICUANI; TRAMO: COLPAHUAYO - LANGUI,Licitación Pública,0,0,20475927550,IPESA HYDRO S.A.(*),686773," BULLON CHURAMPI JOEL EDILBERTO, CHAFLOQUE LLAGAS JOSE MARIA, HUAPAYA AMES MIGUEL ANGEL, RAMOS COPA EDO ALFREDO, SANTON MEZA EMERSON JUNIOR, Vargas Guevara Jeanett Brígida",63,2058157,056-2021-MTC/20.2,24984698.12,27760775.67,25169769.95
2029683,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2029683-3527-639021-2017003-43642,1,Obra,43642,MEJORAMIENTO DE LA CARRETERA CARHUAMAYO - PAUCARTAMBO - EL MILAGRO - LLAUPI - OXAPAMPA TRAMO II KM 37 MAS 00 AL KM 45 MAS 300,Licitación Pública,0,0,20489730864,CONSTRUCTORA Y MINERA GOLDEN SOCIEDAD ANONIMA CERRADA(*),639021," ARIAS  AVILA VICTOR MANUEL, BARRAZA CHIRINOS JULIO CESAR, PINTO ESPINOZA HECTOR RAUL, PIZARRO LOZANO NEIL EDWIN, RIVERA VARGAS LUIS ANTONIO, ROMAINVILLE ROFFNER HOLGUER",171,2017003,0041-2020-G.R.PASCO/GGR,3195327.35,3260538.12,3108379.67
2029683,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2029683-3527-639021-2017003-43642,1,Obra,43642,MEJORAMIENTO DE LA CARRETERA CARHUAMAYO - PAUCARTAMBO - EL MILAGRO - LLAUPI - OXAPAMPA TRAMO II KM 37 MAS 00 AL KM 45 MAS 300,Licitación Pública,0,0,20539211162,CONSORCIO VIAL PERU ,639021," ARIAS  AVILA VICTOR MANUEL, BARRAZA CHIRINOS JULIO CESAR, PINTO ESPINOZA HECTOR RAUL, PIZARRO LOZANO NEIL EDWIN, RIVERA VARGAS LUIS ANTONIO, ROMAINVILLE ROFFNER HOLGUER",67,2017003,0041-2020-G.R.PASCO/GGR,3195327.35,3260538.12,3108379.67
