CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,IDENTIFICADOR_OBRA,PROCESO,OBJETO_PROCESO,CODIGO_OBRA,NOMBREOBRA,METODO_CONTRATACION,TIEMPO_ABSOLUCION_CONSULTAS,TIEMPO_PRESENTACION_OFERTAS,CODIGO_RUC_GANADOR,RAZON_SOCIAL,CONVOCATORIA_PROCESO_GANADO,TotalProcesosParticipantes,CODIGO_CONTRATO,NUMERO_CONTRATO,CODIGO_RUC_PARTICIPANTE,NOMBRE_PARTICIPANTE
2002060,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002060-2434-702592-2064311-19777,3,Consultoría de Obra,19777,Obra Carretera Puente Chino - Aguaytía; sectores dañados.,Concurso Público,0,0,20549322434,VERA & MORENO S.A. CONSULTORES DE INGENIERIA(*),702592,81,2064311,063-2021-MTC/20.2,20137109612,VERA & MORENO S.A. CONSULTORES DE INGENIERIA(*)
2002060,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002060-2434-702592-2064311-19777,3,Consultoría de Obra,19777,Obra Carretera Puente Chino - Aguaytía; sectores dañados.,Concurso Público,0,0,20549322434,PROMOCION Y GESTION PROMOGEST SOCIEDAD ANONIMA CERRADA,702592,81,2064311,063-2021-MTC/20.2,20511668094,PROMOCION Y GESTION PROMOGEST SOCIEDAD ANONIMA CERRADA
2002060,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002060-2434-702592-2064311-19777,3,Consultoría de Obra,19777,Obra Carretera Puente Chino - Aguaytía; sectores dañados.,Concurso Público,0,0,20549322434,URCI CONSULTORES S.L. SUCURSAL DEL PERU,702592,81,2064311,063-2021-MTC/20.2,20524383901,URCI CONSULTORES S.L. SUCURSAL DEL PERU
2002060,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002060-2434-702592-2064311-19777,3,Consultoría de Obra,19777,Obra Carretera Puente Chino - Aguaytía; sectores dañados.,Concurso Público,0,0,20549322434,PYUNGHWA ENGINEERING CONSULTANTS LTDA SUCURSAL DEL PERU,702592,81,2064311,063-2021-MTC/20.2,20549322434,PYUNGHWA ENGINEERING CONSULTANTS LTDA SUCURSAL DEL PERU
2002060,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002060-2434-702592-2064311-19777,3,Consultoría de Obra,19777,Obra Carretera Puente Chino - Aguaytía; sectores dañados.,Concurso Público,0,0,20549322434,C & M CONSULTORES S.A.S SUCURSAL PERU,702592,81,2064311,063-2021-MTC/20.2,20602671110,C & M CONSULTORES S.A.S SUCURSAL PERU
2002060,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002060-2434-702592-2064311-19777,3,Consultoría de Obra,19777,Obra Carretera Puente Chino - Aguaytía; sectores dañados.,Concurso Público,0,0,20549322434,CONSORCIO VIAL TINGO MARIA,702592,81,2064311,063-2021-MTC/20.2,99000020598,CONSORCIO VIAL TINGO MARIA
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-869397-2169938-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20522404331,consorcio consultor peajes,869397,123,2169938,022-2023-MTC/20.2,10090325073,consorcio consultor peajes
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-869397-2169938-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20522404331,CONSORCIO HEXA,869397,123,2169938,022-2023-MTC/20.2,10167259702,CONSORCIO HEXA
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-869397-2169938-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20522404331,DAMIAN SUCLUPE CESAR WILLIAM(*),869397,123,2169938,022-2023-MTC/20.2,10175513405,DAMIAN SUCLUPE CESAR WILLIAM(*)
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-869397-2169938-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20522404331,CONSORCIO MURARIA,869397,123,2169938,022-2023-MTC/20.2,10181406157,CONSORCIO MURARIA
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-869397-2169938-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20522404331,CONSORCIO V&F,869397,123,2169938,022-2023-MTC/20.2,10200904147,CONSORCIO V&F
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-869397-2169938-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20522404331,ARCE RECUAY VLADIMIR LEO(*),869397,123,2169938,022-2023-MTC/20.2,10201159534,ARCE RECUAY VLADIMIR LEO(*)
