CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,CODIGO_OBRA,NOMBRE_OBRA,EMPRESA_EJECUTORA,EMPRESA_SUPERVISORA,ESTADO_OBRA
2331873,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,102021,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD DEL EJE DE INTEGRACIÓN VIAL NORTE ENTRE LA INTERSECCIÓN DE LAS AV. LAS TORRES - VIA PE -34A HASTA LA INTERSECCIÓN CON LA AV. ITALIA - AV. AVIACIÓN DISTRITOS DE YURA Y CERRO COLORADO; PROVINCIA DE AREQUIPA - REGIÓN AREQUIPA - TRAMO II,NULL,CONSORCIO SUPERVISOR PUENTE PACCHA;TICONA VARGAS TOMAS(*),Finalizado
2331873,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,102022,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD DEL EJE DE INTEGRACIÓN VIAL NORTE ENTRE LA INTERSECCIÓN DE LA AV. LAS TORRES - VIA PE 34 -A HASTA LA INTERSECCIÓN CON LA AV. ITALIA - AV. AVIACIÓN ; DISTRITOS DE YURA Y CERRO COLORADO; PROVINCIA AREQUIPA - AREQUIPA - TRAMO III,NULL,FERNANDEZ IDROGO SEGUNDO GRIMANIEL,Finalizado
2233958,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,102591,CONSTRUCCIÓN PUENTE HUALLAGA Y ACCESOS,NULL,NULL,En Ejecución
2233917,ADMINISTRACION Y PLANEAMIENTO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,105591,Mejoramiento del Servicio de Resguardo y Conservación del Patrimonio Archivístico de la Nación del Archivo General de la Nación - Sede Pueblo Libre; distrito Pueblo Libre; provincia y departamento de Lima,NULL,NULL,Sin Ejecución
2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,105653,Instalación de Puentes Modulares Zona Norte 1 La Libertad; conformado por el Puente Capulí; Cacique; Chahuin; Chuchalac; El Bosque; El Ingenio; El Molino; La Voladora y San Simón.,NULL,CONSORCIO INGENIERIA DE PUENTES;ROJAS MAMANI DIONISIO(*),Sin Ejecución
2158700,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,106748,Construccion de la Via de Evitamiento a la Ciudad de Abancay,NULL,NULL,En Ejecución
2158700,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,106748,Construccion de la Via de Evitamiento a la Ciudad de Abancay,NULL,NULL,En Ejecución
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,108912,INSTALACION; MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DE 103 CASERIOS; DISTRITO DE HUARMACA - HUANCABAMBA - PIURA : UP 034 PALO BLANCO,CONSORCIO PALO BLANCO;JM &amp; KG INGENIEROS S.A.C.(*),BARBOZA ALCANTARA ENRIQUE,En Ejecución
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,108912,INSTALACION; MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DE 103 CASERIOS; DISTRITO DE HUARMACA - HUANCABAMBA - PIURA : UP 034 PALO BLANCO,CONSORCIO PALO BLANCO;JM &amp; KG INGENIEROS S.A.C.(*),BARBOZA ALCANTARA ENRIQUE,En Ejecución
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,108914,MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DE 103 CASERÍOS; DISTRITO DE HUARMACA; HUANCABAMBA; PIURA : UP 74 TUNAS,CONSORCIO SAN MATEO;KRAD INGENIEROS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - KRADI E.I.R.L.;QIAN BEI S.R.L.(*),B &amp; V CONSULTORES Y EJECUTORES S.R.L(*);CONSORCIO AGUA;CONSORCIO SUPERVISOR AGUA;Q Y Q CONSULTORES Y EJECUTORES S.A.C(*),Inactivo
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,108914,MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DE 103 CASERÍOS; DISTRITO DE HUARMACA; HUANCABAMBA; PIURA : UP 74 TUNAS,CONSORCIO SAN MATEO;KRAD INGENIEROS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - KRADI E.I.R.L.;QIAN BEI S.R.L.(*),B &amp; V CONSULTORES Y EJECUTORES S.R.L(*);CONSORCIO AGUA;CONSORCIO SUPERVISOR AGUA;Q Y Q CONSULTORES Y EJECUTORES S.A.C(*),Inactivo
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,108916,INSTALACIÓN; MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DE 103 CASERÍOS; DISTRITO DE HUARMACA; HUANCABAMBA; PIURA : UP 100 CEDRO,CONSORCIO BINACIONAL;K.I.A. INGENIEROS S.R.L.(*),CONSORCIO UNION CONSULTORES;Q Y Q CONSULTORES Y EJECUTORES S.A.C(*),Finalizado
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,108916,INSTALACIÓN; MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DE 103 CASERÍOS; DISTRITO DE HUARMACA; HUANCABAMBA; PIURA : UP 100 CEDRO,CONSORCIO BINACIONAL;K.I.A. INGENIEROS S.R.L.(*),CONSORCIO UNION CONSULTORES;Q Y Q CONSULTORES Y EJECUTORES S.A.C(*),Finalizado
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,108917,INSTALACIÓN; MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DE 103 CASERÍOS; DISTRITO DE HUARMACA; HUANCABAMBA; PIURA : UP 101 SAN ISIDRO,CONSORCIO SAN ISIDRO - HUARMACA;MARY &amp; HERMANOS CONSULTORES Y EJECUTORES S.R.L.(*),CONSULTORIA SGLA S.A.C.,En Ejecución
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,108917,INSTALACIÓN; MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DE 103 CASERÍOS; DISTRITO DE HUARMACA; HUANCABAMBA; PIURA : UP 101 SAN ISIDRO,CONSORCIO SAN ISIDRO - HUARMACA;MARY &amp; HERMANOS CONSULTORES Y EJECUTORES S.R.L.(*),CONSULTORIA SGLA S.A.C.,En Ejecución
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,108917,INSTALACIÓN; MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DE 103 CASERÍOS; DISTRITO DE HUARMACA; HUANCABAMBA; PIURA : UP 101 SAN ISIDRO,CONSORCIO SAN ISIDRO - HUARMACA;MARY &amp; HERMANOS CONSULTORES Y EJECUTORES S.R.L.(*),CONSULTORIA SGLA S.A.C.,En Ejecución
