CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,IDENTIFICADOR_OBRA,CODIGO_OBRA,NOMBRE_OBRA,ESTADO_OBRA,ETAPA,DIAS_PLAZO,TOTAL_CONTROL_PREVIO,TOTAL_CONTROL_SIMULTANEO,TOTAL_CONTROL_POSTERIOR,RIESGO_OBRA,RIESGO_DESCRIPCION_OBRA
2002060,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002060-2434-702592-2064311-19777,19777,Obra Carretera Puente Chino - Aguaytía; sectores dañados.,Finalizado,ESTUDIO DEFINITIVO,0,0,0,0,4,Extremadamente Riesgosa
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-869397-2169938-826,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),En Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,2,Medianamente Riesgosa
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-870112-2169901-826,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),En Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,2,Medianamente Riesgosa
2015918,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2015918-1249-721938-2074791-45660,45660,Proyecto de Integración Vial Tacna-La Paz; Tramo: Tacna-Collpa (Frontera con Bolivia); Sub Tramo Km 94+000 - Km 144+262.38,Finalizado,ESTUDIO DEFINITIVO,0,0,0,0,4,Extremadamente Riesgosa
2026767,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2026767-16256-709096-2067605-143536,143536,CONSTRUCCIÓN DE VARIANTE EN EL SECTOR TUTUMBARO Y REPARACIÓN DE NUEVOS SECTORES INESTABLES DE LA CARRETERA: QUINUA - SAN FRANCISCO; TRAMO 2,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,4,Extremadamente Riesgosa
2027711,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2027711-3876-682536-2050524-138320,138320,REHABILITACIÓN Y MEJORAMIENTO DE LA CARRETERA PATAHUASI - YAURI - SICUANI; TRAMO: COLPAHUAYO - LANGUI,En Ejecución,SUPERVISIÓN,0,0,0,0,4,Extremadamente Riesgosa
2027711,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2027711-3876-686773-2058157-138320,138320,REHABILITACIÓN Y MEJORAMIENTO DE LA CARRETERA PATAHUASI - YAURI - SICUANI; TRAMO: COLPAHUAYO - LANGUI,En Ejecución,EJECUCIÓN,0,0,0,0,4,Extremadamente Riesgosa
2029683,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2029683-3527-639021-2017003-43642,43642,MEJORAMIENTO DE LA CARRETERA CARHUAMAYO - PAUCARTAMBO - EL MILAGRO - LLAUPI - OXAPAMPA TRAMO II KM 37 MAS 00 AL KM 45 MAS 300,En Ejecución,EJECUCIÓN,0,0,1,0,4,Extremadamente Riesgosa
2029683,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2029683-3527-659859-2026271-43642,43642,MEJORAMIENTO DE LA CARRETERA CARHUAMAYO - PAUCARTAMBO - EL MILAGRO - LLAUPI - OXAPAMPA TRAMO II KM 37 MAS 00 AL KM 45 MAS 300,En Ejecución,SUPERVISIÓN,0,0,1,0,4,Extremadamente Riesgosa
2031000,AGRARIA,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2031000-14583-668776-2030828-124333,124333,AFIANZAMIENTO DEL RESERVORIO POECHOS - SECTOR HIDRAULICO CHIRA PIURA - II ETAPA,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,4,Extremadamente Riesgosa
2031000,AGRARIA,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2031000-14583-681388-2038499-124333,124333,AFIANZAMIENTO DEL RESERVORIO POECHOS - SECTOR HIDRAULICO CHIRA PIURA - II ETAPA,Sin Ejecución,SUPERVISIÓN,0,0,0,0,4,Extremadamente Riesgosa
2031000,AGRARIA,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2031000-14583-739392-2098568-77795,77795,AFIANZAMIENTO DEL RESERVORIO POECHOS - SISTEMA HIDRAULICO CHIRA - PIURA,Finalizado,ETAPA NO IDENTIFICADA,0,0,1,0,4,Extremadamente Riesgosa
2031000,AGRARIA,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2031000-14583-828169-2142140-77795,77795,AFIANZAMIENTO DEL RESERVORIO POECHOS - SISTEMA HIDRAULICO CHIRA - PIURA,Finalizado,EJECUCIÓN,0,0,1,0,4,Extremadamente Riesgosa
2031000,AGRARIA,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2031000-14583-834037-2149486-77795,77795,AFIANZAMIENTO DEL RESERVORIO POECHOS - SISTEMA HIDRAULICO CHIRA - PIURA,Finalizado,SUPERVISIÓN,21,0,1,0,4,Extremadamente Riesgosa
2055893,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2055893-48520-491374-2130802-12346,12346,OBRA: CONSTRUCCION DE LA VIA COSTA VERDE - TRAMO CALLAO,Finalizado,SUPERVISIÓN,0,0,1,0,2,Medianamente Riesgosa
2055893,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2055893-48520-680485-2044147-118093,118093,PROTECCIÓN DEL TALUD SUPERIOR DE LA COSTA VERDE TRAMO CALLAO Código Unificado 2055893,Finalizado,SUPERVISIÓN,0,0,1,0,4,Extremadamente Riesgosa
2055893,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2055893-48520-764309-2091884-118093,118093,PROTECCIÓN DEL TALUD SUPERIOR DE LA COSTA VERDE TRAMO CALLAO Código Unificado 2055893,Finalizado,EJECUCIÓN,0,0,1,0,4,Extremadamente Riesgosa
2055915,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2055915-51611-480274-2128869-1985,1985,MEJORAMIENTO DE LA CARRETERA AZANGARO - SAYTOCOCHA - SANDIA - SAN JUAN DEL ORO; TRAMO II: MUÑANI - SAYTOCOCHA,En Ejecución,SUPERVISIÓN,0,0,1,0,4,Extremadamente Riesgosa
