CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,IDENTIFICADOR_OBRA,ANHO,MES,Planificado,Real,IND_Intervension,IND_Residente,IND_Monto_Adelanto_Materiales,IND_Monto_Adelanto_Directo,IND_Fecha_Adelanto_Materiales,IND_Fecha_Adelanto_Directo
2331873,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2331873-371182-638870-2023471-102021,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2331873,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2331873-371182-670830-2045952-102022,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2233958,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2233958-4588-516149-2047423-102591,2023,3,1,0.76,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2233958,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2233958-4588-516149-2047423-102591,2023,8,1,0.96,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2233958,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2233958-4588-516149-2047423-102591,2023,6,1,0.96,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2233917,ADMINISTRACION Y PLANEAMIENTO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2233917-87547-595719-2022915-105591,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2425240-2425240-604345-2015515-105653,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2158700,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2158700-108630-682794-2037439-106748,2023,3,1,0.34,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2158700,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2158700-108630-695489-2042633-106748,2023,3,1,0.34,NORMAL,NORMAL,ALERTA,NORMAL,NORMAL,NORMAL
2158700,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2158700-108630-682794-2037439-106748,2023,4,1,0.34,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2158700,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2158700-108630-695489-2042633-106748,2023,4,1,0.34,NORMAL,NORMAL,ALERTA,NORMAL,NORMAL,NORMAL
2158700,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2158700-108630-682794-2037439-106748,2023,5,1,0.35,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2158700,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2158700-108630-695489-2042633-106748,2023,5,1,0.35,NORMAL,NORMAL,ALERTA,NORMAL,NORMAL,NORMAL
2158700,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2158700-108630-682794-2037439-106748,2023,2,1,0.34,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2158700,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2158700-108630-695489-2042633-106748,2023,2,1,0.34,NORMAL,NORMAL,ALERTA,NORMAL,NORMAL,NORMAL
2158700,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2158700-108630-682794-2037439-106748,2023,1,1,0.34,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2158700,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2158700-108630-695489-2042633-106748,2023,1,1,0.34,NORMAL,NORMAL,ALERTA,NORMAL,NORMAL,NORMAL
2158700,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2158700-108630-682794-2037439-106748,2023,7,0.86,0.38,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2158700,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2158700-108630-695489-2042633-106748,2023,7,0.86,0.38,NORMAL,NORMAL,ALERTA,NORMAL,NORMAL,NORMAL
2158700,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2158700-108630-682794-2037439-106748,2023,6,1,0.36,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2158700,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2158700-108630-695489-2042633-106748,2023,6,1,0.36,NORMAL,NORMAL,ALERTA,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-691232-2052839-108912,2023,4,1,0.97,NORMAL,NORMAL,ALERTA,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-705548-2065036-108912,2023,4,1,0.97,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-691232-2052839-108912,2023,6,1,0.99,NORMAL,NORMAL,ALERTA,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-705548-2065036-108912,2023,6,1,0.99,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-691232-2052839-108912,2023,1,1,0.95,NORMAL,NORMAL,ALERTA,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-705548-2065036-108912,2023,1,1,0.95,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-691232-2052839-108912,2023,5,1,0.97,NORMAL,NORMAL,ALERTA,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-705548-2065036-108912,2023,5,1,0.97,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-691232-2052839-108912,2023,3,1,0.97,NORMAL,NORMAL,ALERTA,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-705548-2065036-108912,2023,3,1,0.97,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-691232-2052839-108912,2023,2,1,0.96,NORMAL,NORMAL,ALERTA,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-705548-2065036-108912,2023,2,1,0.96,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-698718-2061957-108914,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-708529-2062106-108914,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-703764-2062192-108916,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,ALERTA,NORMAL,ALERTA
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-707016-2061614-108916,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ALERTA
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-735026-2078047-108917,2023,7,0.36,0.3,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-843214-2161653-108917,2023,7,0.36,0.3,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-878659-2170813-108917,2023,7,0.36,0.3,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-735026-2078047-108917,2023,6,0.16,0.15,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-843214-2161653-108917,2023,6,0.16,0.15,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-878659-2170813-108917,2023,6,0.16,0.15,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-735026-2078047-108917,2023,4,0.01,0.01,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-843214-2161653-108917,2023,4,0.01,0.01,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-878659-2170813-108917,2023,4,0.01,0.01,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-735026-2078047-108917,2023,5,0.06,0.08,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-843214-2161653-108917,2023,5,0.06,0.08,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-878659-2170813-108917,2023,5,0.06,0.08,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-735026-2078047-108917,2023,8,0.63,0.43,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-843214-2161653-108917,2023,8,0.63,0.43,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2193247-280513-878659-2170813-108917,2023,8,0.63,0.43,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2402106,SALUD,HUANUCO,GOBIERNO REGIONAL,2402106-94845-696507-2054187-109529,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2259669,OTROS,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2259669-220883-556517-2003673-111086,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2259669,OTROS,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2259669-220883-684421-2047595-111086,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2066003,INDUSTRIA; COMERCIO Y SERVICIOS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2066003-61210-624590-2127532-111275,NULL,NULL,0,0,NORMAL,NORMAL,ALERTA,NORMAL,NORMAL,NORMAL
2066003,INDUSTRIA; COMERCIO Y SERVICIOS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2066003-61210-621692-2000183-111277,NULL,NULL,0,0,NORMAL,NORMAL,ALERTA,NORMAL,NORMAL,NORMAL
2392641,TRANSPORTE,HUANCAVELICA,GOBIERNO NACIONAL,2392641-2392641-631923-2003510-114078,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2392641,TRANSPORTE,HUANCAVELICA,GOBIERNO NACIONAL,2392641-2392641-866186-2174904-114078,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2262744,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2262744-311131-631294-2008579-114812,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2403922,SANEAMIENTO,AREQUIPA,GOBIERNO LOCAL,2403922-258244-631773-2013670-115003,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2403922,SANEAMIENTO,AREQUIPA,GOBIERNO LOCAL,2403922-258244-633141-2013576-115003,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2412955,SANEAMIENTO,LIMA,GOBIERNO NACIONAL,2412955-2412955-649178-2025819-115008,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2340083,OTROS,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2340083-378895-640980-2006405-115016,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2387810,SANEAMIENTO,ANCASH,GOBIERNO NACIONAL,2387810-2387810-582351-2173525-115304,2023,1,1,0.64,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2387810,SANEAMIENTO,ANCASH,GOBIERNO NACIONAL,2387810-2387810-582351-2173525-115304,2023,7,1,0.9,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2387810,SANEAMIENTO,ANCASH,GOBIERNO NACIONAL,2387810-2387810-582351-2173525-115304,2023,4,1,0.82,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2387810,SANEAMIENTO,ANCASH,GOBIERNO NACIONAL,2387810-2387810-582351-2173525-115304,2023,3,1,0.72,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2387810,SANEAMIENTO,ANCASH,GOBIERNO NACIONAL,2387810-2387810-582351-2173525-115304,2023,4,1,0.8,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2387810,SANEAMIENTO,ANCASH,GOBIERNO NACIONAL,2387810-2387810-582351-2173525-115304,2023,2,1,0.68,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2387810,SANEAMIENTO,ANCASH,GOBIERNO NACIONAL,2387810-2387810-582351-2173525-115304,2023,8,1,0.93,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2387810,SANEAMIENTO,ANCASH,GOBIERNO NACIONAL,2387810-2387810-582351-2173525-115304,2023,5,1,0.84,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2387810,SANEAMIENTO,ANCASH,GOBIERNO NACIONAL,2387810-2387810-582351-2173525-115304,2023,6,1,0.87,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2090887,SALUD Y SANEAMIENTO,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2090887-3880-673389-2124894-115823,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2454755,TRANSPORTE,SAN MARTIN,GOBIERNO LOCAL,2454755-2454755-621993-2003957-116356,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2454755,TRANSPORTE,SAN MARTIN,GOBIERNO LOCAL,2454755-2454755-837834-2161318-116356,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2055893,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2055893-48520-680485-2044147-118093,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,ALERTA,NORMAL,ALERTA
