COD_UNICO,NOMBRE_INVERSION,MONTO_VIABLE,SECTOR,ETAPA_PROYECTO,PROYECTO_RIESGO,PROYECTO_RIESGO_DESC,GOBIERNO,TotalControlPrevio,TotalControlSimultaneo,TotalControlPosterior,DEPARTAMENTO,PROVINCIA,DISTRITO,ESTADO_PROYECTO,ESTADO_CUBIERTO,PIM,EJECUTADO
2017384,MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO SANITARIO DE LA CIUDAD DE TARMA; DISTRITO TARMA; PROVINCIA DE TARMA - JUNIN,141137863,SALUD Y SANEAMIENTO,Fase Ejecución,3,ALTAMENTE RIESGOSO,GOBIERNO LOCAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,180000,0
2026767,REHABILITACION Y MEJORAMIENTO DE LA CARRETERA QUINUA-SAN FRANCISCO,323915305,TRANSPORTE,Fase Ejecución,4,EXTREMADAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,2290905,888344.44
2030345,PROGRAMA DE CIENCIA Y TECNOLOGÍA,126000000,ADMINISTRACION Y PLANEAMIENTO,Fase Formulación,1,BAJAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,1250000,0
2042345,REHABILITACION DEL TERMINAL PORTUARIO DE PUCALLPA,153887216,TRANSPORTE,Fase Ejecución,3,ALTAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,1474413,768617.36
2055915,MEJORAMIENTO DE LA CARRETERA AZANGARO - SAYTOCOCHA - SANDIA - SAN JUAN DEL ORO,182221561,TRANSPORTE,Fase Ejecución,4,EXTREMADAMENTE RIESGOSO,GOBIERNO REGIONAL,0,1,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,CUBIERTO,100000,0
2058698,REHABILITACION Y MEJORAMIENTO DE LA CARRETERA CHONGOYAPE-COCHABAMBA-CAJAMARCA,701780831,TRANSPORTE,Fase Ejecución,4,EXTREMADAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,10074153,5080175.48
2077997,PROYECTO CHAVIMOCHIC TERCERA ETAPA,1847407252,AGRARIA,Fase Ejecución,4,EXTREMADAMENTE RIESGOSO,GOBIERNO REGIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,18691068,10429358.03
2078658,REUBICACION DE POLVORINES DE LA ZONA URBANA,150425578,DEFENSA Y SEGURIDAD NACIONAL,Fase Formulación,1,BAJAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,0,0
2078218,FORTALECIMIENTO DE LA CAPACIDAD RESOLUTIVA DE LOS SERVICIOS DE SALUD DEL HOSPITAL REGIONAL DE ICA – DIRESA ICA,118202842,SALUD Y SANEAMIENTO,Fase Ejecución,3,ALTAMENTE RIESGOSO,GOBIERNO REGIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,5899,5898.67
2088774,REHABILITACION Y MEJORAMIENTO DE LA CARRETERA HUAURA - SAYAN - CHURIN,502831752,TRANSPORTE,Fase Ejecución,4,EXTREMADAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,42199069,4940909.66
2088142,MAJES SIGUAS - II ETAPA,1338419640,AGRARIA,Fase Ejecución,4,EXTREMADAMENTE RIESGOSO,GOBIERNO REGIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,103695845,76800198.39
