COD_UNICO,ANHO,MES,EJECUCION,ESTADO_PROYECTO
2026767,2023,2,65345.1,NO PARALIZADA
2026767,2023,3,162279.98,NO PARALIZADA
2026767,2023,5,198413.95,NO PARALIZADA
2026767,2023,6,46615.73,NO PARALIZADA
2026767,2023,8,97117.06,NO PARALIZADA
2026767,2023,1,20668.74,NO PARALIZADA
2026767,2023,4,188981.78,NO PARALIZADA
2026767,2023,7,108922.1,NO PARALIZADA
2042345,2023,6,768617.36,NO PARALIZADA
2042345,2023,3,0,NO PARALIZADA
2042345,2023,7,0,NO PARALIZADA
2058698,2023,2,962615.84,NO PARALIZADA
2058698,2023,3,663272.23,NO PARALIZADA
2058698,2023,5,530652.43,NO PARALIZADA
2058698,2023,7,701388.64,NO PARALIZADA
2058698,2023,8,375566.09,NO PARALIZADA
2058698,2023,1,223981.04,NO PARALIZADA
2058698,2023,4,472748.07,NO PARALIZADA
2058698,2023,6,1149951.14,NO PARALIZADA
2077997,2023,2,847503.72,NO PARALIZADA
2077997,2023,4,971160.06,NO PARALIZADA
2077997,2023,5,1817303.29,NO PARALIZADA
2077997,2023,7,2557926.5,NO PARALIZADA
2077997,2023,8,2433994.39,NO PARALIZADA
2077997,2023,1,661775.8,NO PARALIZADA
2077997,2023,3,272716.16,NO PARALIZADA
2077997,2023,6,866978.11,NO PARALIZADA
2078218,2023,2,4557.82,NO PARALIZADA
2078218,2023,3,1340.85,NO PARALIZADA
2088774,2023,1,70412.38,NO PARALIZADA
2088774,2023,3,385193.01,NO PARALIZADA
2088774,2023,5,758864.61,NO PARALIZADA
2088774,2023,6,1261354.99,NO PARALIZADA
2088774,2023,8,4960,NO PARALIZADA
2088774,2023,2,963535.16,NO PARALIZADA
2088774,2023,4,149348.3,NO PARALIZADA
2088774,2023,7,1347241.21,NO PARALIZADA
2088142,2023,1,50196.59,NO PARALIZADA
2088142,2023,3,215641.2,NO PARALIZADA
2088142,2023,4,1126257.07,NO PARALIZADA
2088142,2023,6,24407280.26,NO PARALIZADA
2088142,2023,7,502711.89,NO PARALIZADA
2088142,2023,2,38736.95,NO PARALIZADA
2088142,2023,5,49858264.52,NO PARALIZADA
2088142,2023,8,601109.91,NO PARALIZADA
2110581,2023,1,0,NO PARALIZADA
2110581,2023,3,799313.2,NO PARALIZADA
2110581,2023,5,109842.91,NO PARALIZADA
2110581,2023,6,197133.19,NO PARALIZADA
2110581,2023,8,14075,NO PARALIZADA
2110581,2023,2,37328.54,NO PARALIZADA
2110581,2023,4,51815.17,NO PARALIZADA
2110581,2023,7,53654.18,NO PARALIZADA
2130855,2023,3,1165298.98,NO PARALIZADA
2130855,2023,4,8500,NO PARALIZADA
2130855,2023,5,30500,NO PARALIZADA
2130855,2023,6,489008.4,NO PARALIZADA
2130855,2023,7,631960.04,NO PARALIZADA
2130855,2023,8,632500,NO PARALIZADA
2134881,2023,5,650714.18,NO PARALIZADA
2134881,2023,7,534270.23,NO PARALIZADA
2134881,2023,8,228057.6,NO PARALIZADA
2134881,2023,4,0,NO PARALIZADA
2134881,2023,6,680012.56,NO PARALIZADA
2148430,2023,1,6045.59,NO PARALIZADA
2148430,2023,3,144666.7,NO PARALIZADA
2148430,2023,5,152324.5,NO PARALIZADA
2148430,2023,6,238055.35,NO PARALIZADA
2148430,2023,7,230838.21,NO PARALIZADA
2148430,2023,8,55452.26,NO PARALIZADA
2148430,2023,2,38148.87,NO PARALIZADA
2148430,2023,4,55415.68,NO PARALIZADA
2157301,2023,1,0,PARALIZADA
2157301,2023,5,0,PARALIZADA
2157301,2023,7,0,PARALIZADA
2157301,2023,3,0,PARALIZADA
2157301,2023,4,0,PARALIZADA
2157301,2023,6,0,PARALIZADA
2157301,2023,8,10000,PARALIZADA
2178454,2023,2,48357.27,NO PARALIZADA
2178454,2023,3,3299118.73,NO PARALIZADA
2178454,2023,4,218055.06,NO PARALIZADA
2178454,2023,5,403316.75,NO PARALIZADA
2178454,2023,6,1034973.1,NO PARALIZADA
2178454,2023,7,-323498.93,NO PARALIZADA
2178454,2023,8,110184.46,NO PARALIZADA
2187911,2023,2,129313.03,NO PARALIZADA
2187911,2023,3,59977.15,NO PARALIZADA
2187911,2023,4,274418.67,NO PARALIZADA
2187911,2023,5,228364.27,NO PARALIZADA
2187911,2023,6,438770.16,NO PARALIZADA
2187911,2023,7,1469238.75,NO PARALIZADA
2187911,2023,8,422341.32,NO PARALIZADA
2195520,2023,2,1214851.53,NO PARALIZADA
2195520,2023,4,4024282.07,NO PARALIZADA
2195520,2023,7,4796048.55,NO PARALIZADA
2195520,2023,1,0,NO PARALIZADA
2195520,2023,3,1503684,NO PARALIZADA
2195520,2023,5,6015176.72,NO PARALIZADA
2235631,2023,1,0,NO PARALIZADA
2235631,2023,7,0,NO PARALIZADA
2235631,2023,8,0,NO PARALIZADA
2233862,2023,1,2664205.62,NO PARALIZADA
2233862,2023,2,0,NO PARALIZADA
2233862,2023,3,3400447.55,NO PARALIZADA
