COD_UNICO,IDENTIFICADOR_OBRA,CODIGO_OBRA,OBRA_RIESGO_DESC,OBRA_RIESGO,NOMBRE_OBRA
2002060,2002060-2434-702592-2064311-19777,19777,Extremadamente Riesgosa,4,Obra Carretera Puente Chino - Aguaytía; sectores dañados.
2002210,2002210-8880-869397-2169938-826,826,Medianamente Riesgosa,2,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento)
2002210,2002210-8880-870112-2169901-826,826,Medianamente Riesgosa,2,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento)
2015918,2015918-1249-721938-2074791-45660,45660,Extremadamente Riesgosa,4,Proyecto de Integración Vial Tacna-La Paz; Tramo: Tacna-Collpa (Frontera con Bolivia); Sub Tramo Km 94+000 - Km 144+262.38
2026767,2026767-16256-709096-2067605-143536,143536,Extremadamente Riesgosa,4,CONSTRUCCIÓN DE VARIANTE EN EL SECTOR TUTUMBARO Y REPARACIÓN DE NUEVOS SECTORES INESTABLES DE LA CARRETERA: QUINUA - SAN FRANCISCO; TRAMO 2
2027711,2027711-3876-682536-2050524-138320,138320,Extremadamente Riesgosa,4,REHABILITACIÓN Y MEJORAMIENTO DE LA CARRETERA PATAHUASI - YAURI - SICUANI; TRAMO: COLPAHUAYO - LANGUI
2027711,2027711-3876-686773-2058157-138320,138320,Extremadamente Riesgosa,4,REHABILITACIÓN Y MEJORAMIENTO DE LA CARRETERA PATAHUASI - YAURI - SICUANI; TRAMO: COLPAHUAYO - LANGUI
2029683,2029683-3527-639021-2017003-43642,43642,Extremadamente Riesgosa,4,MEJORAMIENTO DE LA CARRETERA CARHUAMAYO - PAUCARTAMBO - EL MILAGRO - LLAUPI - OXAPAMPA TRAMO II KM 37 MAS 00 AL KM 45 MAS 300
2029683,2029683-3527-659859-2026271-43642,43642,Extremadamente Riesgosa,4,MEJORAMIENTO DE LA CARRETERA CARHUAMAYO - PAUCARTAMBO - EL MILAGRO - LLAUPI - OXAPAMPA TRAMO II KM 37 MAS 00 AL KM 45 MAS 300
2031000,2031000-14583-668776-2030828-124333,124333,Extremadamente Riesgosa,4,AFIANZAMIENTO DEL RESERVORIO POECHOS - SECTOR HIDRAULICO CHIRA PIURA - II ETAPA
2031000,2031000-14583-681388-2038499-124333,124333,Extremadamente Riesgosa,4,AFIANZAMIENTO DEL RESERVORIO POECHOS - SECTOR HIDRAULICO CHIRA PIURA - II ETAPA
2031000,2031000-14583-739392-2098568-77795,77795,Extremadamente Riesgosa,4,AFIANZAMIENTO DEL RESERVORIO POECHOS - SISTEMA HIDRAULICO CHIRA - PIURA
2031000,2031000-14583-828169-2142140-77795,77795,Extremadamente Riesgosa,4,AFIANZAMIENTO DEL RESERVORIO POECHOS - SISTEMA HIDRAULICO CHIRA - PIURA
2031000,2031000-14583-834037-2149486-77795,77795,Extremadamente Riesgosa,4,AFIANZAMIENTO DEL RESERVORIO POECHOS - SISTEMA HIDRAULICO CHIRA - PIURA
