CODIGO_RUC,nombre_empresa_1a,n_obras_asociadas_1a,n_registros_1a,es_consorcio,flag_sancionadas_tce,flag_inhabilitadas_pj,flag_sancionadas_rnp,flag_inhabilitadas_rnp,flag_impedidas_rnp,nombre_empresa_2a,capacidad_maxima_contratacion,capacidad_libre_contratacion,estado_empresa,condicion_empresa,numero_sanciones_tce,numero_sanciones_rnp,flag_fecha_constitucion_alerta,flag_ley_selva_alerta,flag_accionistas_alerta,n_obras_representante,n_representantes_legales,representante_legal_principal,NOMBRE_EMPRESA,risk_score_proxy,y_riesgo_empresa_4niveles,n_vinculos_total,n_contrapartes_unicas,n_veces_ganador,n_veces_participante,ratio_ganador,ratio_participante,n_registros_hora_oferta,n_horas_oferta_distintas,hora_oferta_moda
10001046191,CONSULTORES ASOCIADOS DEL ORIENTE,1,1,1,0,0,0,0,0,CONSULTORES ASOCIADOS DEL ORIENTE,,0.0,ACTIVO,HABIDO,0,0,0,0,0,,,,CONSULTORES ASOCIADOS DEL ORIENTE,0,0,19,13,9,10,0.47368421052631576,0.5263157894736842,0.0,0.0,
10011010534,DELGADO VASQUEZ GEICEN BLADISLAV(*),1,1,1,0,0,0,0,0,DELGADO VASQUEZ GEICEN BLADISLAV(*),,0.0,ACTIVO,HABIDO,0,0,0,0,0,,,,DELGADO VASQUEZ GEICEN BLADISLAV(*),0,0,17,15,15,2,0.8823529411764706,0.11764705882352941,0.0,0.0,
10011217104,CONSORCIO CONSULTOR B3,1,1,1,0,0,0,0,0,CONSORCIO CONSULTOR B3,,0.0,ACTIVO,HABIDO,0,0,0,0,0,1.0,2.0,SIMON MUCHA MONICA LUZ,CONSORCIO CONSULTOR B3,0,0,26,23,20,6,0.7692307692307693,0.23076923076923078,0.0,0.0,
10011600447,CHAVEZ BRAVO DAGOBERTO,1,1,0,0,0,0,0,0,CHAVEZ BRAVO DAGOBERTO,,0.0,ACTIVO,HABIDO,0,0,0,0,0,,,,CHAVEZ BRAVO DAGOBERTO,0,0,4,3,1,3,0.25,0.75,0.0,0.0,
10020343112,TICONA VARGAS TOMAS(*),3,3,1,0,0,0,0,0,TICONA VARGAS TOMAS(*),,0.0,ACTIVO,HABIDO,0,0,0,0,0,2.0,1.0,BECERRA GUEVARA RICARDO LENIN,TICONA VARGAS TOMAS(*),0,0,28,15,19,9,0.6785714285714286,0.32142857142857145,0.0,0.0,
10021511116,ROJAS MAMANI DIONISIO(*),4,4,1,0,0,0,0,0,ROJAS MAMANI DIONISIO(*),,0.0,ACTIVO,HABIDO,0,0,0,0,0,1.0,3.0,LUCEN CHAVEZ JORGE ENRIQUE,ROJAS MAMANI DIONISIO(*),0,0,36,13,25,11,0.6944444444444444,0.3055555555555556,0.0,0.0,
10024475005,CONSORCIO SUPERVISION ACROMEL,1,1,1,0,0,0,0,0,CONSORCIO SUPERVISION ACROMEL,,0.0,ACTIVO,HABIDO,0,0,0,0,0,,,,CONSORCIO SUPERVISION ACROMEL,0,0,14,11,9,5,0.6428571428571429,0.35714285714285715,0.0,0.0,
10031271369,CALLE RENTERIA VICTOR AUGUSTO(*),1,1,1,0,0,0,0,0,CALLE RENTERIA VICTOR AUGUSTO(*),,0.0,ACTIVO,HABIDO,0,0,0,0,0,,,,CALLE RENTERIA VICTOR AUGUSTO(*),0,0,10,7,2,8,0.2,0.8,0.0,0.0,
10034844262,CONSORCIO CHECASULLU,1,1,1,0,0,0,0,0,CONSORCIO CHECASULLU,,0.0,ACTIVO,HABIDO,0,0,0,0,0,,,,CONSORCIO CHECASULLU,0,0,6,4,4,2,0.6666666666666666,0.3333333333333333,0.0,0.0,
10050716606,MAMANI TTITO VIDAL AMERICO,1,1,0,0,0,0,0,0,MAMANI TTITO VIDAL AMERICO,,0.0,ACTIVO,HABIDO,0,0,0,0,0,,,,MAMANI TTITO VIDAL AMERICO,0,0,12,10,5,7,0.4166666666666667,0.5833333333333334,0.0,0.0,
10053721350,PEÑA CORAL FERNANDO(*),3,3,1,0,0,0,0,0,PEÑA CORAL FERNANDO(*),,0.0,ACTIVO,HABIDO,0,0,0,0,0,2.0,3.0,CASTILLO DIAZ ORLANDO,PEÑA CORAL FERNANDO(*),0,0,38,28,28,10,0.7368421052631579,0.2631578947368421,1.0,1.0,8:30
10060786581,REYES MORAN OSCAR IGNACIO(*),1,1,1,0,0,0,0,0,REYES MORAN OSCAR IGNACIO(*),,0.0,ACTIVO,HABIDO,0,0,0,0,0,1.0,1.0,MENOR BALLADARES ENRIQUE,REYES MORAN OSCAR IGNACIO(*),0,0,8,6,6,2,0.75,0.25,0.0,0.0,
10062352529,RIOS PADILLA ANA BERTHA(*),1,1,1,0,0,0,0,0,RIOS PADILLA ANA BERTHA(*),,0.0,ACTIVO,HABIDO,0,0,0,1,0,,,,RIOS PADILLA ANA BERTHA(*),1,1,11,9,7,4,0.6363636363636364,0.36363636363636365,0.0,0.0,
10070675043,CONSORCIO SAN JOSE,2,2,1,0,0,0,0,0,CONSORCIO SAN JOSE,,0.0,ACTIVO,HABIDO,0,0,0,0,0,1.0,1.0,VILA CELAYA JOSE MANUEL,CONSORCIO SAN JOSE,0,0,19,13,14,5,0.7368421052631579,0.2631578947368421,0.0,0.0,
10071641274,CONSORCIO SUPERVISOR ALPHA,1,1,1,0,0,0,0,0,CONSORCIO SUPERVISOR ALPHA,,0.0,ACTIVO,HABIDO,0,0,0,0,0,1.0,2.0,CONDORHUAMAN SUPA JESUS DANIEL,CONSORCIO SUPERVISOR ALPHA,0,0,12,9,8,4,0.6666666666666666,0.3333333333333333,0.0,0.0,
