IDENTIFICADOR_OBRA,obra_PROCESO_mean,obra_PROCESO_max,obra_PROCESO_min,obra_CODIGO_RUC_GANADOR_mean,obra_CODIGO_RUC_GANADOR_max,obra_CODIGO_RUC_GANADOR_min,obra_CONVOCATORIA_PROCESO_GANADO_mean,obra_CONVOCATORIA_PROCESO_GANADO_max,obra_CONVOCATORIA_PROCESO_GANADO_min,obra_TotalProcesosParticipantes_mean,obra_TotalProcesosParticipantes_max,obra_TotalProcesosParticipantes_min,obra_CODIGO_CONTRATO_mean,obra_CODIGO_CONTRATO_max,obra_CODIGO_CONTRATO_min,obra_CODIGO_RUC_PARTICIPANTE_mean,obra_CODIGO_RUC_PARTICIPANTE_max,obra_CODIGO_RUC_PARTICIPANTE_min,obra_n_ofertas_mean,obra_n_ofertas_max,obra_n_ofertas_min,obra_monto_ofertado_min_mean,obra_monto_ofertado_min_max,obra_monto_ofertado_min_min,obra_monto_ofertado_max_mean,obra_monto_ofertado_max_max,obra_monto_ofertado_max_min,obra_monto_ofertado_mean_mean,obra_monto_ofertado_mean_max,obra_monto_ofertado_mean_min,obra_monto_ofertado_median_mean,obra_monto_ofertado_median_max,obra_monto_ofertado_median_min,obra_monto_ofertado_std_mean,obra_monto_ofertado_std_max,obra_monto_ofertado_std_min,obra_monto_ofertado_rango_mean,obra_monto_ofertado_rango_max,obra_monto_ofertado_rango_min,obra_obra_2a3a_n_registros_mean,obra_obra_2a3a_n_registros_max,obra_obra_2a3a_n_registros_min,obra_obra_2a3a_nunique_CODIGO_RUC_mean,obra_obra_2a3a_nunique_CODIGO_RUC_max,obra_obra_2a3a_nunique_CODIGO_RUC_min,obra_obra_2a3a_nunique_MIEMBROS_DE_COMITE_mean,obra_obra_2a3a_nunique_MIEMBROS_DE_COMITE_max,obra_obra_2a3a_nunique_MIEMBROS_DE_COMITE_min,obra_obra_2a3a_nunique_TotalProcesosParticipantes_mean,obra_obra_2a3a_nunique_TotalProcesosParticipantes_max,obra_obra_2a3a_nunique_TotalProcesosParticipantes_min,obra_obra_2b_n_registros_mean,obra_obra_2b_n_registros_max,obra_obra_2b_n_registros_min,obra_obra_2b_nunique_DNI_MIEMBRO_COMITE_mean,obra_obra_2b_nunique_DNI_MIEMBRO_COMITE_max,obra_obra_2b_nunique_DNI_MIEMBRO_COMITE_min,obra_obra_2b_nunique_NOMBRE_MIEMBRO_COMITE_mean,obra_obra_2b_nunique_NOMBRE_MIEMBRO_COMITE_max,obra_obra_2b_nunique_NOMBRE_MIEMBRO_COMITE_min,obra_obra_5a_n_registros_mean,obra_obra_5a_n_registros_max,obra_obra_5a_n_registros_min,obra_CODIGO_UNICO_first,obra_CODIGO_UNICO_nunique,obra_SECTOR_first,obra_SECTOR_nunique,obra_DEPARTAMENTO_first,obra_DEPARTAMENTO_nunique,obra_NIVEL_GOBIERNO_first,obra_NIVEL_GOBIERNO_nunique,obra_OBJETO_PROCESO_first,obra_OBJETO_PROCESO_nunique,obra_CODIGO_OBRA_first,obra_CODIGO_OBRA_nunique,obra_NOMBREOBRA_first,obra_NOMBREOBRA_nunique,obra_METODO_CONTRATACION_first,obra_METODO_CONTRATACION_nunique,obra_RAZON_SOCIAL_first,obra_RAZON_SOCIAL_nunique,obra_NUMERO_CONTRATO_first,obra_NUMERO_CONTRATO_nunique,obra_NOMBRE_PARTICIPANTE_first,obra_NOMBRE_PARTICIPANTE_nunique,y_riesgo_obra_4niveles,func_n_registros,func_n_funcionarios,func_riesgo_max,func_riesgo_mean,func_riesgo_std,func_pct_riesgo_alto
2002060-2434-702592-2064311-19777,3.0,3,3,20549322434.0,20549322434,20549322434,702592.0,702592,702592,81.0,81,81,2064311.0,2064311,2064311,33554195958.166668,99000020598,20137109612,6.0,6,6,2235852.56,2235852.56,2235852.56,2480068.29,2480068.29,2480068.29,2276555.1816666666,2276555.1816666666,2276555.1816666666,2235852.56,2235852.56,2235852.56,99700.65427688429,99700.65427688429,99700.65427688429,244215.72999999998,244215.72999999998,244215.72999999998,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2002060,1,TRANSPORTE,1,MULTIDEPARTAMENTAL,1,GOBIERNO NACIONAL,1,Consultoría de Obra,1,19777,1,Obra Carretera Puente Chino - Aguaytía; sectores dañados.,1,Concurso Público,1,VERA & MORENO S.A. CONSULTORES DE INGENIERIA(*),6,063-2021-MTC/20.2,1,VERA & MORENO S.A. CONSULTORES DE INGENIERIA(*),6,3,6.0,6.0,3.0,1.1666666666666667,1.3291601358251257,0.16666666666666666
2002210-8880-869397-2169938-826,60.0,60,60,20522404331.0,20522404331,20522404331,869397.0,869397,869397,123.0,123,123,2169938.0,2169938,2169938,14672134655.0,20604335290,10090325073,14.0,14,14,0.0,0.0,0.0,332000.0,332000.0,332000.0,307513.34928571427,307513.34928571427,307513.34928571427,331016.98999999993,331016.99,331016.99,88509.1409926825,88509.1409926825,88509.1409926825,332000.0,332000.0,332000.0,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2002210,1,TRANSPORTE,1,MULTIDEPARTAMENTAL,1,GOBIERNO NACIONAL,1,Consultoría de Obra,1,826,1,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),1,Concurso Público,1,consorcio consultor peajes,14,022-2023-MTC/20.2,1,consorcio consultor peajes,14,2,12.0,6.0,0.0,0.0,0.0,0.0
2002210-8880-870112-2169901-826,60.0,60,60,20528975055.0,20528975055,20528975055,870112.0,870112,870112,181.0,181,181,2169901.0,2169901,2169901,15017280266.692308,20604335290,10090325073,13.0,13,13,283575.23,283575.23,283575.23,290000.0,290000.0,290000.0,284563.6561538461,284563.6561538461,284563.6561538461,283575.23,283575.23,283575.23,2412.718344262824,2412.718344262824,2412.718344262824,6424.770000000019,6424.770000000019,6424.770000000019,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2002210,1,TRANSPORTE,1,MULTIDEPARTAMENTAL,1,GOBIERNO NACIONAL,1,Consultoría de Obra,1,826,1,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),1,Concurso Público,1,consorcio consultor peajes,13,015-2023-MTC/20.2,1,consorcio consultor peajes,13,2,0.0,0.0,0.0,0.0,0.0,0.0
2026767-16256-709096-2067605-143536,14.0,14,14,20416687875.5,20419183220,20414192531,709096.0,709096,709096,44.5,69,20,2067605.0,2067605,2067605,36123514555.7,99000027908,20117264883,20.0,20,20,2477357.77,2477357.77,2477357.77,2477357.77,2477357.77,2477357.77,2477357.77,2477357.77,2477357.77,2477357.77,2477357.77,2477357.77,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2026767,1,TRANSPORTE,1,MULTIDEPARTAMENTAL,1,GOBIERNO NACIONAL,1,Consultoría de Obra,1,143536,1,CONSTRUCCIÓN DE VARIANTE EN EL SECTOR TUTUMBARO Y REPARACIÓN DE NUEVOS SECTORES INESTABLES DE LA CARRETERA: QUINUA - SAN FRANCISCO; TRAMO 2,1,Concurso Público,1,KUKOVA INGENIEROS S.A.C.(*),10,072-2021-MTC/20.2,1,KUKOVA INGENIEROS S.A.C.(*),10,3,6.0,6.0,3.0,0.5,1.224744871391589,0.16666666666666666
2027711-3876-682536-2050524-138320,39.0,39,39,20552233787.0,20552233787,20552233787,682536.0,682536,682536,144.0,144,144,2050524.0,2050524,2050524,20456482430.913044,20607312461,20100153671,23.0,23,23,3043955.25,3043955.25,3043955.25,3382172.4900000007,3382172.49,3382172.49,3073365.4447826087,3073365.4447826087,3073365.4447826087,3043955.25,3043955.25,3043955.25,97441.76187296379,97441.76187296379,97441.76187296379,338217.2400000002,338217.2400000002,338217.2400000002,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7,7,2027711,1,TRANSPORTE,1,MULTIDEPARTAMENTAL,1,GOBIERNO NACIONAL,1,Consultoría de Obra,1,138320,1,REHABILITACIÓN Y MEJORAMIENTO DE LA CARRETERA PATAHUASI - YAURI - SICUANI; TRAMO: COLPAHUAYO - LANGUI,1,Concurso Público,1,LAGESA INGENIEROS CONSULTORES S.A.,22,045-2021-MTC/20.2,1,LAGESA INGENIEROS CONSULTORES S.A.,22,3,12.0,11.0,3.0,0.6666666666666666,1.2309149097933272,0.16666666666666666
2027711-3876-686773-2058157-138320,6.0,6,6,20292332104.5,20475927550,20108736659,686773.0,686773,686773,48.5,63,34,2058157.0,2058157,2058157,20476061463.95238,20607171620,20108736659,42.0,42,42,24984698.11,24984698.11,24984698.11,26927952.4,26927952.4,26927952.4,25169769.954285715,25169769.954285715,25169769.954285715,24984698.12,24984698.12,24984698.12,577344.2618730315,577344.2618730315,577344.2618730315,1943254.289999999,1943254.289999999,1943254.289999999,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7,7,2027711,1,TRANSPORTE,1,MULTIDEPARTAMENTAL,1,GOBIERNO NACIONAL,1,Obra,1,138320,1,REHABILITACIÓN Y MEJORAMIENTO DE LA CARRETERA PATAHUASI - YAURI - SICUANI; TRAMO: COLPAHUAYO - LANGUI,1,Licitación Pública,1,CONSORCIO VIAL WARI,18,056-2021-MTC/20.2,1,CONSORCIO VIAL WARI,18,3,0.0,0.0,0.0,0.0,0.0,0.0
2029683-3527-639021-2017003-43642,1.0,1,1,20514471013.0,20539211162,20489730864,639021.0,639021,639021,119.0,171,67,2017003.0,2017003,2017003,20430079090.666668,20539211162,20261295246,6.0,6,6,2934484.31,2934484.31,2934484.31,3195327.35,3195327.35,3195327.35,3108379.67,3108379.67,3108379.67,3195327.35,3195327.35,3195327.35,134698.76665254871,134698.76665254871,134698.76665254871,260843.04000000004,260843.04000000004,260843.04000000004,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2029683,1,TRANSPORTE,1,MULTIDEPARTAMENTAL,1,GOBIERNO NACIONAL,1,Obra,1,43642,1,MEJORAMIENTO DE LA CARRETERA CARHUAMAYO - PAUCARTAMBO - EL MILAGRO - LLAUPI - OXAPAMPA TRAMO II KM 37 MAS 00 AL KM 45 MAS 300,1,Licitación Pública,1,FM CONTRATISTAS GENERALES S.R.L,3,0041-2020-G.R.PASCO/GGR,1,FM CONTRATISTAS GENERALES S.R.L,3,3,6.0,6.0,3.0,0.5,1.224744871391589,0.16666666666666666
2029683-3527-659859-2026271-43642,9.0,9,9,10199424039.0,10199424039,10199424039,659859.0,659859,659859,94.0,94,94,2026271.0,2026271,2026271,10185972138.666666,10282442243,10076050134,3.0,3,3,117379.37,117379.37,117379.37,117379.37,117379.37,117379.37,117379.37,117379.37,117379.37,117379.37,117379.37,117379.37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,1,1,0.0,0,0,1.0,1,1,,,,,,,,,,1.0,1,1,2029683,1,TRANSPORTE,1,MULTIDEPARTAMENTAL,1,GOBIERNO NACIONAL,1,Consultoría de Obra,1,43642,1,MEJORAMIENTO DE LA CARRETERA CARHUAMAYO - PAUCARTAMBO - EL MILAGRO - LLAUPI - OXAPAMPA TRAMO II KM 37 MAS 00 AL KM 45 MAS 300,1,Adjudicación Simplificada,1,CONSORCIO MONARCA,3,CONTRATO N°0064-2020-G.R.PASCO/GGR,1,CONSORCIO MONARCA,3,3,0.0,0.0,0.0,0.0,0.0,0.0
2031000-14583-668776-2030828-124333,4.0,4,4,20600891317.0,20600891317,20600891317,668776.0,668776,668776,137.0,137,137,2030828.0,2030828,2030828,20600891317.0,20600891317,20600891317,1.0,1,1,1784534.57,1784534.57,1784534.57,1784534.57,1784534.57,1784534.57,1784534.57,1784534.57,1784534.57,1784534.57,1784534.57,1784534.57,,,,0.0,0.0,0.0,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2031000,1,AGRARIA,1,MULTIDEPARTAMENTAL,1,GOBIERNO REGIONAL,1,Consultoría de Obra,1,124333,1,AFIANZAMIENTO DEL RESERVORIO POECHOS - SECTOR HIDRAULICO CHIRA PIURA - II ETAPA,1,Adjudicación Simplificada,1,CHANGJIANG INSTITUTE OF SURVEY; PLANNING; DESIGN AND RESEARCH SUCURSAL DEL PERU,1,14,1,CHANGJIANG INSTITUTE OF SURVEY; PLANNING; DESIGN AND RESEARCH SUCURSAL DEL PERU,1,3,12.0,8.0,3.0,1.1666666666666667,1.403458930534474,0.3333333333333333
2031000-14583-681388-2038499-124333,7.0,7,7,20483809051.0,20483809051,20483809051,681388.0,681388,681388,72.0,72,72,2038499.0,2038499,2038499,20483809051.0,20483809051,20483809051,1.0,1,1,282377.52,282377.52,282377.52,282377.52,282377.52,282377.52,282377.52,282377.52,282377.52,282377.52,282377.52,282377.52,,,,0.0,0.0,0.0,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2031000,1,AGRARIA,1,MULTIDEPARTAMENTAL,1,GOBIERNO REGIONAL,1,Consultoría de Obra,1,124333,1,AFIANZAMIENTO DEL RESERVORIO POECHOS - SECTOR HIDRAULICO CHIRA PIURA - II ETAPA,1,Adjudicación Simplificada,1,NORPERUANA DE INGENIEROS S.A.C.,1,2,1,NORPERUANA DE INGENIEROS S.A.C.,1,3,0.0,0.0,0.0,0.0,0.0,0.0
