identificador_obra_key,codigo_unico_key,y_riesgo,CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,CODIGO_OBRA,ESTADO_OBRA,ETAPA,DIAS_PLAZO,TOTAL_CONTROL_PREVIO,TOTAL_CONTROL_SIMULTANEO,TOTAL_CONTROL_POSTERIOR,f2a3a_n_registros,f2a3a_nunique_MIEMBROS_DE_COMITE,f2b_n_registros,f2b_CODIGO_UNICO_mean,f2b_CODIGO_UNICO_max,f2b_PROCESO_mean,f2b_PROCESO_max,f2b_CONVOCATORIA_mean,f2b_CONVOCATORIA_max,f2b_DNI_MIEMBRO_COMITE_mean,f2b_DNI_MIEMBRO_COMITE_max,f2b_nunique_NOMBRE_MIEMBRO_COMITE,f3b_n_registros,f3b_n_ruc_participantes,f3b_n_ruc_ganadores,f3b_ratio_ganadores_participantes,f3c_n_registros,f3c_n_ofertas_con_monto,f3c_monto_ofertado_min,f3c_monto_ofertado_max,f3c_monto_ofertado_mean,f3c_monto_ofertado_median,f3c_monto_ofertado_std,f3c_rango_monto_ofertado,f5a_n_registros,f5a_ANHO_sum,f5a_MES_mean,f5a_MES_max,f5a_MES_sum,f5a_Planificado_mean,f5a_Planificado_max,f5a_Planificado_sum,f5a_Real_mean,f5a_Real_max,f5a_Real_sum,f5a_nunique_ANHO,f5a_nunique_MES
2002060-2434-702592-2064311-19777,2002060,1,2002060,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,19777,Finalizado,ESTUDIO DEFINITIVO,0,0,0,0,1.0,1.0,6.0,2002060.0,2002060.0,3.0,3.0,702592.0,702592.0,26442283.0,43584310.0,6.0,6.0,6.0,1.0,0.16666666666666666,6.0,6.0,2235852.56,2480068.29,2276555.1816666666,2235852.56,99700.65427688429,244215.72999999998,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2002210-8880-869397-2169938-826,2002210,1,2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,826,En Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,1.0,1.0,6.0,2002210.0,2002210.0,60.0,60.0,869397.0,869397.0,42591012.5,71831188.0,6.0,14.0,14.0,1.0,0.07142857142857142,14.0,14.0,0.0,332000.0,307513.34928571427,331016.99,88509.1409926825,332000.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2002210-8880-870112-2169901-826,2002210,1,2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,826,En Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,1.0,1.0,6.0,2002210.0,2002210.0,60.0,60.0,870112.0,870112.0,42591012.5,71831188.0,6.0,13.0,13.0,1.0,0.07692307692307693,13.0,13.0,283575.23,290000.0,284563.6561538461,283575.23,2412.718344262824,6424.770000000019,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015918-1249-721938-2074791-45660,2015918,1,2015918,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,45660,Finalizado,ESTUDIO DEFINITIVO,0,0,0,0,,,6.0,2015918.0,2015918.0,24.0,24.0,721938.0,721938.0,19413386.333333332,43584310.0,6.0,,,,,,,,,,,,,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2026767-16256-709096-2067605-143536,2026767,1,2026767,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,143536,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,2.0,1.0,6.0,2026767.0,2026767.0,14.0,14.0,709096.0,709096.0,28424758.666666668,46550019.0,6.0,20.0,10.0,2.0,0.2,20.0,20.0,2477357.77,2477357.77,2477357.77,2477357.77,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2027711-3876-682536-2050524-138320,2027711,1,2027711,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,138320,En Ejecución,SUPERVISIÓN,0,0,0,0,1.0,1.0,6.0,2027711.0,2027711.0,39.0,39.0,682536.0,682536.0,26554864.0,47503980.0,6.0,23.0,23.0,1.0,0.043478260869565216,23.0,23.0,3043955.25,3382172.49,3073365.4447826087,3043955.25,97441.76187296379,338217.2400000002,7,14161.0,4.0,7.0,28.0,1.0,1.0,7.0,0.5457142857142857,0.68,3.8200000000000003,1,7
2027711-3876-686773-2058157-138320,2027711,1,2027711,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,138320,En Ejecución,EJECUCIÓN,0,0,0,0,2.0,1.0,6.0,2027711.0,2027711.0,6.0,6.0,686773.0,686773.0,23014351.0,42368634.0,6.0,42.0,21.0,2.0,0.09523809523809523,42.0,42.0,24984698.11,26927952.4,25169769.954285715,24984698.12,577344.2618730315,1943254.289999999,7,14161.0,4.0,7.0,28.0,1.0,1.0,7.0,0.5457142857142857,0.68,3.8200000000000003,1,7
2029683-3527-639021-2017003-43642,2029683,1,2029683,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,43642,En Ejecución,EJECUCIÓN,0,0,1,0,2.0,1.0,6.0,2029683.0,2029683.0,1.0,1.0,639021.0,639021.0,36458716.833333336,76591998.0,6.0,6.0,3.0,2.0,0.6666666666666666,6.0,6.0,2934484.31,3195327.35,3108379.67,3195327.35,134698.76665254871,260843.04000000004,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2029683-3527-659859-2026271-43642,2029683,1,2029683,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,43642,En Ejecución,SUPERVISIÓN,0,0,1,0,1.0,0.0,,,,,,,,,,,3.0,3.0,1.0,0.3333333333333333,3.0,3.0,117379.37,117379.37,117379.37,117379.37,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2031000-14583-668776-2030828-124333,2031000,1,2031000,AGRARIA,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,124333,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,1.0,1.0,6.0,2031000.0,2031000.0,4.0,4.0,668776.0,668776.0,36849624.833333336,70376300.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1784534.57,1784534.57,1784534.57,1784534.57,,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
