ETAPA,DIAS_PLAZO,TOTAL_CONTROL_PREVIO,TOTAL_CONTROL_SIMULTANEO,TOTAL_CONTROL_POSTERIOR,obra_ctx_sector,obra_ctx_nivel_gobierno,obra_ctx_objeto_proceso,obra_ctx_metodo_contratacion,obra_ctx_departamento,obra_monto_contractual_sum,obra_n_contratos_ganados,obra_n_participantes_mean,obra_n_participantes_max,obra_ratio_contractual_referencial,obra_sobre_referencial,obra_ratio_oferta_contrato,obra_n_convocatorias_comite,obra_n_procesos_comite,obra_ratio_repeticion_comite,obra_comite_no_estandar,obra_n_contratos,obra_n_procesos,obra_n_contratos_postor_unico,obra_n_contratos_total_part,obra_pct_postor_unico,obra_ratio_participacion,obra_ratio_contrato_participacion,obra_rango_ofertas,obra_cv_ofertas,obra_n_contratos_montos_identicos,obra_n_contratos_con_montos,obra_pct_montos_identicos,obra_ratio_ganador_media,obra_n_postores_igual_ganador,obra_pct_postores_igual_ganador,obra_planificado_mean,obra_real_mean,obra_planificado_max,obra_real_max,obra_brecha_mean,obra_brecha_min,obra_brecha_std,obra_n_registros_ejec,obra_n_anhos,obra_n_meses,obra_desviacion_real_plan,obra_ratio_real_plan,obra_planificado_cero,obra_real_cero,obra_sin_ejecucion,obra_sobreavance,obra_n_alertas_total,obra_n_filas_con_alerta,obra_pct_filas_con_alerta,obra_tiene_ejecutora,obra_tiene_supervisora,obra_paralizada,obra_inactiva,obra_en_ejecucion,obra_finalizada,prob_Bajo Riesgo,prob_Med/Alt Riesgosa,prob_Extrem. Riesgosa,clase_predicha,clase_predicha_label,origen,y_real
ESTUDIO DEFINITIVO,16.58270030566165,1.0,0.0,0.013780943525390008,TRANSPORTE,GOBIERNO NACIONAL,Consultoría de Obra,Concurso Público,MULTIDEPARTAMENTAL,296041.087689121,1.0,103.69393352826938,107.71470601532222,0.9017886800212477,0.0,1.0487325497487703,0.9562223485476732,0.9561813157832554,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.06914115412029112,8583429.211003782,0.0,0.914669633069975,1.0,0.934602559833593,0.9898036946714435,12.789742918084702,0.9240650167216072,0.013459918035244321,0.0,0.0,0.05996837442216066,0.006758267347804817,0.028020506508193915,0.0,1.0,0.013298920240380875,0.1961338297505106,0.008339635387803145,0.061905649497858206,0.954066577481431,0.9880692928015111,1.0,0.0,0.7806977025658304,0.7535279417445723,1.0,0.0,0.029093215250841947,0.018651465097240423,0.0,0.0,0.9267936914295603,0.0567,0.23,0.7133,2,Extrem. Riesgosa,sintetico_bootstrap_v1,
SUPERVISIÓN,1.0589145445930774,0.0015425021183875262,0.010789099762945209,0.015104352953645095,SALUD,GOBIERNO NACIONAL,Consultoría de Obra,Concurso Público,APURIMAC,26910036.611112647,1.0,84.76155300327258,165.21100908629577,0.9036237397767054,0.0,0.4811559611359182,1.0,1.0,1.0,0.0,1.0,1.0,0.028257439880582356,1.0,0.02662363230825727,1.996088248513239,0.008482359375576523,5642024.280120635,0.013677665886466569,0.9994492174089755,1.0,0.9683300767709313,1.0287023748268527,38.082896870555594,1.9008034155499565,0.033960384630391256,0.007228938685553183,0.052501934265203366,0.0,-0.0226220570467455,0.01913569835160134,0.0029334541117107733,1.0966644955384124,0.0,0.0,-0.007328155167622615,0.0,0.9700798211731673,1.0,0.9798961305465378,0.02053193895467512,0.12040671689833067,0.038879265397536195,0.0,0.9785168272491217,1.0,0.0,0.010223889934491494,0.06802570918326535,0.0,0.1533,0.58,0.2667,1,Med/Alt Riesgosa,sintetico_bootstrap_v1,
SUPERVISIÓN,6.719756513665492,0.004441603245133976,0.9982224244502929,0.020299835915247453,PESCA,GOBIERNO REGIONAL,Consultoría de Obra,Adjudicación Simplificada,PIURA,8450700.189471865,1.0,91.82313592454143,47.02058864739226,1.0212659742806505,0.0032768300228356155,0.8236008633750955,0.9679581459432717,1.0,0.9572286428537715,0.0,1.0,1.0,0.0,1.0,0.03355177387040952,1.1291843044383867,0.4172832751486659,1147136.1029344066,0.1170798904960029,0.0038915583163165687,1.0,0.0,1.1121675850856454,0.0,0.022930539013904787,0.0,0.0481610536498321,0.01251862544409912,0.0,-0.027134323613254446,0.01752981876688842,0.0013804548412057857,1.0,0.04554918930738253,0.0,-0.012842395396068821,0.0,0.9548249097444153,1.0,1.0,0.0021142629892168395,0.34663092092740694,0.0,0.0,0.0,0.8980469901569769,0.0,0.0,0.022575179957258332,0.11833569869859924,0.0567,0.13,0.8133,2,Extrem. Riesgosa,sintetico_bootstrap_v1,
EXPEDIENTE TÉCNICO,0.0,0.010467951659814108,0.0,0.013548450423176048,PESCA,GOBIERNO NACIONAL,Consultoría de Obra,Adjudicación Simplificada,MULTIDEPARTAMENTAL,6493681.433051227,1.0,82.30944776210471,72.97140241976798,1.0919100018531964,0.9894408899996865,0.8446023933103146,1.0,0.9513501744889616,1.0,1.0,1.0,1.0,1.0,1.0,0.9672263871421092,1.037076059896472,1.0,0.0,0.0,1.0,1.0,1.0,0.9899835833413214,0.0,0.0,0.0028730123430405936,0.015772383524527166,0.02672413391821356,0.0,0.008040415432708198,0.011822496682312863,0.003686864213866381,1.0794630712547055,0.025169832028384475,0.1475983046327205,-0.003312451976332661,0.0,1.0,1.0,1.0,0.0007570940751422478,0.0,0.0,0.001030296553834097,0.024919304715585143,0.0,0.025717879852498408,0.0032144301251632625,0.0,0.09638602681073684,0.1533,0.6067,0.24,1,Med/Alt Riesgosa,sintetico_bootstrap_v1,
ESTUDIO DEFINITIVO,0.0,0.0,0.9943274884110245,0.016756538751714033,TRANSPORTE,GOBIERNO NACIONAL,Consultoría de Obra,Concurso Público,PUNO,36174.08,1.0,91.00719790782104,113.47418761577107,0.923827050119374,0.013355661980307146,0.7773253146243355,0.9443457040913215,0.9909340571148261,1.0,0.0,1.0,1.0,0.0,1.0,0.03800078478890524,2.1601413410118537,0.01804066433153831,0.0,0.06080745760471856,0.9330449679398843,1.0,0.9819346791758915,1.0555393077482298,41.13409979243029,1.748514138542348,0.0,0.011656881862240042,0.015785851754492864,0.0,-0.006186246664506716,-0.008364742886005116,0.0003841840853659638,1.066270839705445,0.0007827207578901918,0.29470179740430175,0.020341256606236587,0.0,1.0,0.9746397918744253,1.0,0.00701982582521097,0.0,0.13405693060405915,0.0,0.0,0.0019190727155439077,0.014054836620572598,0.0,0.0,0.059682389915039664,0.03,0.35,0.62,2,Extrem. Riesgosa,sintetico_bootstrap_v1,
ETAPA NO IDENTIFICADA,0.0,0.011820167321256679,1.0,0.01135684936713875,ORDEN PÚBLICO Y SEGURIDAD,GOBIERNO NACIONAL,Obra,Convenio,ANCASH,438511839.684562,1.0,6.451949561361659,11.778708415853487,0.9978051546491352,0.0,1.0182845964102984,0.0,0.037695725937966384,0.0,0.029747032397506232,1.0,1.0,0.9913528971914186,1.0,1.0,1.123792181366151,1.0,0.0,0.0,1.0,1.0,1.0,0.9374444769099842,21.81883925066667,0.08008364463726794,0.0010875750070099125,0.01643408637593946,0.013508369243080007,0.0,0.005433165920469731,-0.010527757211311157,0.004077751942160945,1.0,0.0,0.11351744283889408,-0.0063059148922354775,0.0,1.0,0.931631830933267,1.0,0.0,0.0,0.0,0.0,0.05913524393924382,0.052885625514460764,0.0,0.0,0.0,0.002160293034417221,0.8533,0.0733,0.0733,0,Bajo Riesgo,sintetico_bootstrap_v1,
EXPEDIENTE TÉCNICO,7.9787093584539,0.0,0.04207456771700851,0.004114522664626722,SALUD Y SANEAMIENTO,GOBIERNO REGIONAL,Consultoría de Obra,Concurso Público,MULTIDEPARTAMENTAL,36174.08,1.0,105.10630131963653,146.88376833444119,0.7747566997540699,0.0,0.5645257884838955,1.0,0.949046530891394,1.0,0.019853963665355977,1.0,1.0,0.0,1.0,0.05607273860161976,3.0019309390228806,0.15133591180498807,0.0,0.027178195782635105,1.0,1.0,0.9847720188296183,1.033856088164132,14.83435764180836,2.0306035863677456,0.004105058732043454,0.0,0.0,0.0,0.01828311704729334,-0.01041806159697161,0.0,1.0490709826051097,0.0,0.0,-0.02038830608208978,0.0,0.9207507743630873,0.9657752827881457,1.0,0.018116901086023224,0.2557838612984671,0.11422880958064864,0.04007849487180761,0.03397474319193049,0.0,0.006856884932076161,0.02984218675962092,0.0,0.037097756711751646,0.3867,0.2467,0.3667,0,Bajo Riesgo,sintetico_bootstrap_v1,
ETAPA NO IDENTIFICADA,0.0,0.004420393439623168,1.0,0.001386994621641505,SANEAMIENTO,GOBIERNO NACIONAL,Consultoría de Obra,Convenio,LIMA,36728426.579480514,1.0,163.3421078076871,192.84057091928355,1.0302043697742196,1.0,0.8116599883226799,0.040376003573309366,0.0,0.013231307189247107,0.0,1.0,1.0,0.0,1.0,0.04959356551725307,2.1109124632026472,0.12627303541123705,6906567.085005235,0.23530802768292583,0.019943767951309418,1.0,0.0,0.901544222473752,0.0,0.8968088760891162,0.0,0.006781909640806153,0.035623384685009446,0.0,-0.011747527364638626,-0.015983851367438313,0.0,1.0,0.025913471246234786,0.0,-0.016751698875379344,0.0,1.0,0.9694019825816514,1.0,0.011479688727722868,0.4014176834941736,0.0,0.0,0.01115386958723327,0.03160782665275623,0.02718638054000974,0.037600963233237035,0.056803086945153555,0.0,0.7533,0.11,0.1367,0,Bajo Riesgo,sintetico_bootstrap_v1,
EJECUCIÓN,230.7010108750535,0.0024061584773011706,0.0,0.0,OTROS,GOBIERNO LOCAL,Obra,Adjudicación Simplificada,MULTIDEPARTAMENTAL,2020472.5053186845,1.0,82.49935440526355,138.29865022262874,0.44295155295979327,0.0,0.25215543469248763,1.0,0.9971874349355431,0.9936682014268328,0.05689821413615552,1.0,1.0,0.05840606516178862,1.0,0.013079795470913745,3.1426600357417898,0.003484320557491289,2222039.0773696336,0.048025887077037685,0.0,1.0,0.04333022675906967,1.0166961755396338,97.45972679612575,1.4412652286853083,0.04037070673075786,0.019345798983257192,0.0,0.050413072460295506,-0.019360629523266636,0.013290339785317575,0.0,1.0,0.0,0.07009652587036225,0.005547294852242866,0.029467407822973867,0.9831987866937744,1.0,1.0,0.0,0.0,0.0,0.06340724455564761,0.9000203564618214,1.0,0.0,0.9722531872261123,1.0,0.8665676918996394,0.5667,0.2633,0.17,0,Bajo Riesgo,sintetico_bootstrap_v1,
ESTUDIO DEFINITIVO,12.55707994679203,0.0,0.04045488245009092,0.9812136398981152,TRANSPORTE,GOBIERNO NACIONAL,Consultoría de Obra,Concurso Público,MULTIDEPARTAMENTAL,72371868.45052087,1.0,111.10294152696889,123.31863466752594,0.9051446542630577,0.01836871822000848,0.5679497955480404,1.0,1.0,1.0,0.0,1.0,1.0,0.06526005105388023,1.0,0.0,1.9924873259391174,0.10090964162444833,0.0,0.0,1.0,1.0,0.9137193172501128,0.938888738276944,63.014217457686854,1.882367755222164,0.03607290887892876,0.0017939016565384465,0.03269581508385743,0.007430524864271851,-0.0032051116140945357,0.020615750713741807,0.0,1.0604569184084787,0.012471718645737552,0.3755496064449238,-0.008799350193498678,0.021588602175599922,1.0,0.9664787346710905,1.0,0.0,0.0,0.23944353149682224,0.01661671557266632,0.0,0.0004889166120111727,0.0,0.026943583898529952,0.0,0.9718699831014537,0.0567,0.0767,0.8667,2,Extrem. Riesgosa,sintetico_bootstrap_v1,
