columna,n_nulos,pct_nulos,n_unicos,dtype
obra_2b_nunique_DNI_MIEMBRO_COMITE,346,0.06591731758430178,11,float64
obra_2b_n_registros,346,0.06591731758430178,11,float64
obra_2b_nunique_NOMBRE_MIEMBRO_COMITE,346,0.06591731758430178,11,float64
monto_ofertado_std,72,0.013716898456848923,130,float64
SECTOR,0,0.0,19,object
CODIGO_UNICO,0,0.0,168,int64
DEPARTAMENTO,0,0.0,23,object
NIVEL_GOBIERNO,0,0.0,3,object
IDENTIFICADOR_OBRA,0,0.0,324,object
PROCESO,0,0.0,65,int64
CODIGO_RUC_GANADOR,0,0.0,371,int64
RAZON_SOCIAL,0,0.0,1411,object
CONVOCATORIA_PROCESO_GANADO,0,0.0,316,int64
TotalProcesosParticipantes,0,0.0,174,int64
OBJETO_PROCESO,0,0.0,2,object
CODIGO_OBRA,0,0.0,230,int64
NOMBREOBRA,0,0.0,230,object
METODO_CONTRATACION,0,0.0,10,object
NOMBRE_PARTICIPANTE,0,0.0,1411,object
CODIGO_RUC_PARTICIPANTE,0,0.0,951,int64
NUMERO_CONTRATO,0,0.0,311,object
CODIGO_CONTRATO,0,0.0,316,int64
monto_ofertado_max,0,0.0,315,float64
y_riesgo_4niveles,0,0.0,4,int64
monto_ofertado_min,0,0.0,301,float64
n_ofertas,0,0.0,54,int64
monto_ofertado_rango,0,0.0,128,float64
monto_ofertado_median,0,0.0,311,float64
monto_ofertado_mean,0,0.0,315,float64
obra_2a3a_n_registros,0,0.0,7,int64
obra_2a3a_nunique_TotalProcesosParticipantes,0,0.0,7,int64
obra_2a3a_nunique_MIEMBROS_DE_COMITE,0,0.0,2,int64
obra_2a3a_nunique_CODIGO_RUC,0,0.0,7,int64
obra_5a_n_registros,0,0.0,8,int64
