timestamp,experimento,algoritmo,n_features_in,n_train,n_test,seed,macro_f1_holdout,bal_acc_holdout,dataset,target,cambio,features_in,features_eliminadas,macro_f1_baseline,delta_pct,decision,recall_extrema,gap_train_val,brier_extrema,alcance
2026-05-29T17:36:31.646015,Baseline (RF_baseline),RandomForestClassifier,77.0,260.0,66.0,42.0,0.5938842203548086,0.5641547049441786,dataset_obra_v4_model.parquet,"y_riesgo_obra (4 niveles, D1)",,,,,,,,,,
2026-05-29T17:36:31.654206,Var1 (LGBM_v1),LGBMClassifier,77.0,260.0,66.0,42.0,0.5523809523809524,0.5308213716108453,dataset_obra_v4_model.parquet,"y_riesgo_obra (4 niveles, D1)",,,,,,,,,,
2026-05-29T17:36:31.712868,Var2 (RF_feat_v2),RandomForestClassifier,77.0,260.0,66.0,42.0,0.5938842203548086,0.5641547049441786,dataset_obra_v4_model.parquet,"y_riesgo_obra (4 niveles, D1)",,,,,,,,,,
2026-05-29T18:00:14.140777,Baseline (RF_baseline),RandomForestClassifier,77.0,260.0,66.0,42.0,0.5938842203548086,0.5641547049441786,dataset_obra_v4_model.parquet,"y_riesgo_obra (4 niveles, D1)",,,,,,,,,,
2026-05-29T18:00:14.148318,Var1 (LGBM_v1),LGBMClassifier,77.0,260.0,66.0,42.0,0.5523809523809524,0.5308213716108453,dataset_obra_v4_model.parquet,"y_riesgo_obra (4 niveles, D1)",,,,,,,,,,
2026-05-29T18:00:14.215987,Var2 (RF_feat_v2),RandomForestClassifier,77.0,260.0,66.0,42.0,0.5938842203548086,0.5641547049441786,dataset_obra_v4_model.parquet,"y_riesgo_obra (4 niveles, D1)",,,,,,,,,,
2026-05-29T18:43:21.869643,Var3 (RF_anticol_v3),,,,,,0.6087423531085503,,dataset_obra_v4_model.parquet,y_riesgo_obra (4 niveles D1),Eliminar 16 features colineales VIF>10 / corr>0.85,61.0,16.0,0.5938842203548086,2.5,ADOPTAR VAR3,,,,
2026-05-29T18:45:28.345144,Var3 (RF_anticol_v3),,,,,,0.6087423531085503,,dataset_obra_v4_model.parquet,y_riesgo_obra (4 niveles D1),Eliminar 16 features colineales VIF>10 / corr>0.85,61.0,16.0,0.5938842203548086,2.5,ADOPTAR VAR3,,,,
2026-05-29T23:03:19.736835,Var3 (RF_anticol_v3),,,,,,0.6087423531085503,,dataset_obra_v4_model.parquet,y_riesgo_obra (4 niveles D1),Eliminar 16 features colineales VIF>10 / corr>0.85,61.0,16.0,0.5938842203548086,2.5,ADOPTAR VAR3,,,,
2026-05-29T23:05:45.386552,Var4 (RF_anticol_SMOTE),,,,,,0.613923013923014,,dataset_obra_v4_model.parquet,y_riesgo_obra (4 niveles D1),SMOTE sampling_strategy=not_majority k=3,61.0,,0.6087423531085503,0.85,pendiente,,,,
2026-05-29T23:09:06.107275,Var5 (RF_anticol_3clases),,,,,,0.6468530440662023,,dataset_obra_v4_model.parquet,y_riesgo_obra (3 niveles: Bajo/Med-Alt/Extrem),Target 4 clases -> 3 clases (fusionar 0+1 = Bajo Riesgo),61.0,,0.6087,6.27,pendiente,,,,
2026-06-05T18:13:29.197489,Baseline (RF_baseline),RandomForestClassifier,77.0,260.0,66.0,42.0,0.5938842203548086,0.5641547049441786,dataset_obra_v4_model.parquet,"y_riesgo_obra (4 niveles, D1)",,,,,,,,,,
2026-06-05T18:13:29.206494,Var1 (LGBM_v1),LGBMClassifier,77.0,260.0,66.0,42.0,0.5523809523809524,0.5308213716108453,dataset_obra_v4_model.parquet,"y_riesgo_obra (4 niveles, D1)",,,,,,,,,,
2026-06-05T18:13:29.266458,Var2 (RF_feat_v2),RandomForestClassifier,77.0,260.0,66.0,42.0,0.5938842203548086,0.5641547049441786,dataset_obra_v4_model.parquet,"y_riesgo_obra (4 niveles, D1)",,,,,,,,,,
2026-06-05T18:43:24.018128,Var3 (RF_anticol_v3),,,,,,0.6087423531085503,,dataset_obra_v4_model.parquet,y_riesgo_obra (4 niveles D1),Eliminar 16 features colineales VIF>10 / corr>0.85,61.0,16.0,0.5938842203548086,2.5,ADOPTAR VAR3,,,,
2026-06-05T18:43:42.628993,Var4 (RF_anticol_SMOTE),,,,,,0.613923013923014,,dataset_obra_v4_model.parquet,y_riesgo_obra (4 niveles D1),SMOTE sampling_strategy=not_majority k=3,61.0,,0.6087423531085503,0.85,pendiente,,,,
2026-06-05T18:43:46.455666,Var5 (RF_anticol_3clases),,,,,,0.6468530440662023,,dataset_obra_v4_model.parquet,y_riesgo_obra (3 niveles: Bajo/Med-Alt/Extrem),Target 4 clases -> 3 clases (fusionar 0+1 = Bajo Riesgo),61.0,,0.6087,6.27,pendiente,,,,
2026-06-05T18:46:47.966432,NB08 — modelo final RF anticol 3 clases,,,,,,0.6468530440662023,0.6460268317853457,dataset_obra_v4_model.parquet (split 4 cls -> map 3 cls),,,61.0,,,,,1.0,0.2970574866959514,0.1448191919191919,solo OBRA (sin empresa/funcionario)
2026-06-22T22:27:07.328901,NB08 — modelo final RF anticol 3 clases,,,,,,0.6468530440662023,0.6460268317853457,dataset_obra_v4_model.parquet (split 4 cls -> map 3 cls),,,61.0,,,,,1.0,0.29705748669595144,0.14481919191919193,solo OBRA (sin empresa/funcionario)
