feature,importance
num__obra_monto_ofertado_mean,0.12172827571393174
num__obra_monto_ofertado_max,0.1209256129836685
num__obra_monto_ofertado_min,0.1162758148934632
num__obra_n_participaciones,0.07438515463837975
num__obra_ratio_contrato_participacion,0.07417749516459735
num__obra_n_ofertas,0.07361038362997592
num__obra_n_rucs_participantes,0.06987001375712888
num__obra_monto_ofertado_std,0.03597476020187091
num__obra_n_dnis_comite_unicos,0.033345833670509764
num__obra_rango_ofertas,0.03251827713809073
num__obra_n_miembros_comite,0.031712610652662405
num__obra_cv_ofertas,0.028871368070045665
num__obra_ratio_participacion,0.025120255631790253
num__obra_n_meses,0.02058474092786816
num__obra_n_registros_ejecucion,0.020465942825201453
num__obra_ratio_real_plan,0.02016182516010218
num__obra_desviacion_real_plan,0.018497415854729523
num__obra_planificado_max,0.014629447194145525
num__obra_real_mean,0.014498045966146783
num__obra_real_max,0.01426370918964808
num__obra_planificado_mean,0.013980782348400314
num__obra_real_cero,0.0066948402327594355
num__obra_sin_ejecucion,0.00642489481543272
num__obra_planificado_cero,0.0059860697086138465
num__obra_n_anhos,0.005296429630836877
num__obra_n_codigos_obra,0.0
num__obra_n_contratos,0.0
num__obra_ratio_repeticion_comite,0.0
num__obra_n_convocatorias_comite,0.0
num__obra_n_procesos,0.0
num__obra_n_procesos_comite,0.0
