,count,mean,std,min,25%,50%,75%,max
y_riesgo,326.0,0.901840490797546,0.29798758727644226,0.0,1.0,1.0,1.0,1.0
CODIGO_UNICO,326.0,2314488.506134969,141145.99251957843,2002060.0,2196451.0,2331453.5,2425240.0,2560253.0
CODIGO_OBRA,326.0,126411.46012269938,62391.26817597233,826.0,102164.25,133833.5,151392.75,505394.0
DIAS_PLAZO,326.0,23.812883435582823,115.70284998670014,0.0,0.0,0.0,0.0,1693.0
TOTAL_CONTROL_PREVIO,326.0,0.018404907975460124,0.13461707003596698,0.0,0.0,0.0,0.0,1.0
TOTAL_CONTROL_SIMULTANEO,326.0,0.4325153374233129,0.4961864954083073,0.0,0.0,0.0,1.0,1.0
TOTAL_CONTROL_POSTERIOR,326.0,0.024539877300613498,0.15495588435814775,0.0,0.0,0.0,0.0,1.0
f2a3a_n_registros,324.0,1.7037037037037037,0.9369530281461202,1.0,1.0,2.0,2.0,7.0
f2a3a_nunique_MIEMBROS_DE_COMITE,324.0,0.7932098765432098,0.4056301207069718,0.0,1.0,1.0,1.0,1.0
f2b_n_registros,259.0,6.227799227799228,1.3461974087815851,3.0,6.0,6.0,6.0,13.0
f2b_CODIGO_UNICO_mean,259.0,2307685.305019305,137685.91535474235,2002060.0,2212594.5,2331873.0,2412829.0,2560253.0
f2b_CODIGO_UNICO_max,259.0,2307685.305019305,137685.91535474235,2002060.0,2212594.5,2331873.0,2412829.0,2560253.0
f2b_PROCESO_mean,259.0,14.907335907335908,23.0331557500342,1.0,3.0,6.0,18.0,179.0
f2b_PROCESO_max,259.0,14.907335907335908,23.0331557500342,1.0,3.0,6.0,18.0,179.0
f2b_CONVOCATORIA_mean,259.0,736616.5907335908,91900.87974730153,385171.0,667824.5,725234.0,810184.0,920686.0
f2b_CONVOCATORIA_max,259.0,736616.5907335908,91900.87974730153,385171.0,667824.5,725234.0,810184.0,920686.0
f2b_DNI_MIEMBRO_COMITE_mean,259.0,32015029.852838967,9127656.007960051,7833365.666666667,25653028.333333336,32508869.5,39886897.41666667,51976239.5
f2b_DNI_MIEMBRO_COMITE_max,259.0,56277176.972972974,15608443.073643977,9733342.0,44438400.0,47482230.0,72160406.0,80592740.0
f2b_nunique_NOMBRE_MIEMBRO_COMITE,259.0,6.227799227799228,1.3461974087815851,3.0,6.0,6.0,6.0,13.0
f3b_n_registros,324.0,16.200617283950617,34.72492345873931,1.0,3.0,8.0,14.0,287.0
f3b_n_ruc_participantes,324.0,7.447530864197531,8.969178049030214,1.0,2.0,5.0,9.25,56.0
f3b_n_ruc_ganadores,324.0,1.7037037037037037,0.9369530281461202,1.0,1.0,2.0,2.0,7.0
f3b_ratio_ganadores_participantes,324.0,0.5241126404246832,0.3803849812923356,0.017857142857142856,0.16666666666666666,0.4,1.0,1.0
f3c_n_registros,324.0,16.200617283950617,34.72492345873931,1.0,3.0,8.0,14.0,287.0
f3c_n_ofertas_con_monto,324.0,16.200617283950617,34.72492345873931,1.0,3.0,8.0,14.0,287.0
f3c_monto_ofertado_min,324.0,53398794.688950606,165925870.53891104,0.0,381866.0675,2333713.7649999997,9082065.0975,1792432243.0
f3c_monto_ofertado_max,324.0,60050786.66925925,196216794.97674665,36174.08,597741.765,3061989.535,10560235.022499999,2191419249.0
f3c_monto_ofertado_mean,324.0,55589948.42451443,170030205.8733695,36174.08,560639.0281923077,2681624.6100000003,10032464.483499998,1792432243.0
f3c_monto_ofertado_median,324.0,54853556.048626535,166800320.45891252,0.0,517681.26,2652177.265,9513567.765,1792432243.0
f3c_monto_ofertado_std,252.0,3247719.6386589212,24531993.08007971,0.0,0.0,0.00520130149613653,134935.9024386959,339686492.37504333
f3c_rango_monto_ofertado,324.0,6651991.980308642,60996787.91728985,0.0,0.0,0.0,109562.81000000001,1022283808.0
f5a_n_registros,326.0,1.9447852760736197,2.0806848983110013,1.0,1.0,1.0,1.0,9.0
f5a_ANHO_sum,326.0,2345.687116564417,4949.858202191527,0.0,0.0,0.0,0.0,18207.0
f5a_MES_mean,70.0,3.9174376417233554,1.1528110552098922,1.0,3.425,4.0,4.333333333333334,6.5
f5a_MES_max,70.0,6.3,1.7224014243685084,1.0,6.0,7.0,7.0,8.0
f5a_MES_sum,326.0,4.742331288343558,10.247454592497347,0.0,0.0,0.0,0.0,40.0
f5a_Planificado_mean,326.0,0.12622129710780017,0.289975917159054,0.0,0.0,0.0,0.0,1.0
f5a_Planificado_max,326.0,0.14812883435582824,0.32181293462056276,0.0,0.0,0.0,0.0,1.0
f5a_Planificado_sum,326.0,0.7099079754601227,1.8056815438108884,0.0,0.0,0.0,0.0,9.0
f5a_Real_mean,326.0,0.08859231668127375,0.21248059286551998,0.0,0.0,0.0,0.0,0.9683333333333333
f5a_Real_max,326.0,0.1015950920245399,0.23344886148722982,0.0,0.0,0.0,0.0,0.99
f5a_Real_sum,326.0,0.5091717791411043,1.365266360464696,0.0,0.0,0.0,0.0,7.66
f5a_nunique_ANHO,326.0,0.2147239263803681,0.41126194218199347,0.0,0.0,0.0,0.0,1.0
f5a_nunique_MES,326.0,1.1441717791411044,2.406544874922659,0.0,0.0,0.0,0.0,8.0
